iter	Logloss	Accuracy
0	0.676280172	0.81125
1	0.6600717458	0.815
2	0.6447018708	0.81625
3	0.6305168255	0.81625
4	0.6173034201	0.81125
5	0.6068508859	0.81375
6	0.5951377504	0.81375
7	0.5857720796	0.8175
8	0.5763212063	0.81125
9	0.5671637514	0.81125
10	0.5575074536	0.81375
11	0.552424611	0.81125
12	0.5476676929	0.80875
13	0.5409054594	0.80875
14	0.5332273652	0.8125
15	0.5269966492	0.81125
16	0.5200238846	0.815
17	0.5134511806	0.81625
18	0.5103987644	0.8125
19	0.5048911026	0.81125
20	0.4993772409	0.81125
21	0.4946908541	0.8125
22	0.4890756044	0.8125
23	0.4855235403	0.815
24	0.4818880935	0.815
25	0.4780732758	0.81625
26	0.4748107521	0.81625
27	0.4720292793	0.81625
28	0.4716999018	0.81625
29	0.4675471978	0.81625
30	0.4650581054	0.81625
31	0.4614404767	0.815
32	0.4580203514	0.815
33	0.4559032847	0.815
34	0.452875596	0.81625
35	0.4495654357	0.81875
36	0.4458667721	0.82125
37	0.4431408319	0.8225
38	0.4415681439	0.8225
39	0.4397748575	0.8225
40	0.4366042752	0.82375
41	0.4330553132	0.82625
42	0.4323111359	0.82875
43	0.430209732	0.82875
44	0.4281445981	0.82625
45	0.4256372811	0.83
46	0.4230939386	0.835
47	0.4220825957	0.83625
48	0.4194711772	0.83375
49	0.4174257449	0.835
50	0.4157610131	0.8375
51	0.4143763211	0.8375
52	0.4125549536	0.8375
53	0.4108626177	0.83125
54	0.4097659382	0.8325
55	0.4074404284	0.8325
56	0.406933758	0.8325
57	0.4053041711	0.8325
58	0.4044719844	0.835
59	0.4033962616	0.835
60	0.4025757933	0.835
61	0.4020080096	0.835
62	0.4003875098	0.83625
63	0.3984194127	0.83875
64	0.3966374425	0.84
65	0.394860271	0.83875
66	0.3940368351	0.8375
67	0.3936832076	0.8375
68	0.3920686113	0.83875
69	0.3910054069	0.8375
70	0.3902654766	0.83625
71	0.3891828914	0.835
72	0.3890124331	0.835
73	0.3882348705	0.83625
74	0.3873065609	0.83875
75	0.3866045455	0.83875
76	0.3854400006	0.83875
77	0.3849545373	0.83875
78	0.3844037916	0.84
79	0.3834842165	0.84125
80	0.3830589834	0.84125
81	0.3824459126	0.84125
82	0.3809633166	0.8425
83	0.3798695759	0.845
84	0.3791711665	0.84625
85	0.3791656768	0.84625
86	0.3782260781	0.8475
87	0.3780980349	0.84625
88	0.3776690599	0.84625
89	0.3765055267	0.8475
90	0.3759046796	0.84875
91	0.3750401902	0.85125
92	0.3742642279	0.85125
93	0.373385779	0.8525
94	0.3726387913	0.8525
95	0.3720394175	0.8525
96	0.3719477983	0.8525
97	0.3708937752	0.85125
98	0.3702967406	0.85125
99	0.3694233143	0.8525
100	0.369180225	0.8525
101	0.3689283916	0.8525
102	0.3685676263	0.8525
103	0.3681700204	0.8525
104	0.3677730118	0.8525
105	0.3676912768	0.85375
106	0.3670476668	0.855
107	0.366266532	0.855
108	0.3653989713	0.85625
109	0.3646762816	0.8575
110	0.3644422294	0.85625
111	0.3633033564	0.85875
112	0.3630237454	0.85875
113	0.3612690422	0.85875
114	0.3608111146	0.86
115	0.3604337964	0.86
116	0.359981457	0.85875
117	0.3592821627	0.86
118	0.3590015939	0.86
119	0.358197558	0.86
120	0.3577286728	0.86
121	0.3574947943	0.86125
122	0.3567113532	0.8625
123	0.3557895527	0.8625
124	0.3549101711	0.8625
125	0.3541694271	0.86375
126	0.3538126069	0.86375
127	0.3525371611	0.86625
128	0.3518544507	0.865
129	0.3516170673	0.865
130	0.3515494605	0.865
131	0.3515172413	0.865
132	0.3510012085	0.865
133	0.3503014323	0.86625
134	0.3493928676	0.86625
135	0.3487997202	0.86625
136	0.3475495115	0.8675
137	0.3463218392	0.86375
138	0.3453614423	0.865
139	0.3450646411	0.865
140	0.3447099584	0.865
141	0.3440479148	0.8675
