iter	Passed	Remaining
0	77	77210
1	152	76097
2	209	69619
3	263	65533
4	405	80775
5	461	76498
6	525	74514
7	591	73321
8	658	72455
9	699	69224
10	779	70079
11	816	67222
12	854	64839
13	905	63808
14	1000	65718
15	1094	67312
16	1187	68669
17	1280	69855
18	1318	68072
19	1426	69913
20	1688	78726
21	1802	80130
22	1911	81205
23	2014	81911
24	2122	82781
25	2231	83604
26	2333	84091
27	2440	84715
28	2462	82466
29	2550	82463
30	2643	82631
31	2900	87727
32	3007	88135
33	3118	88603
34	3230	89068
35	3350	89726
36	3442	89593
37	3537	89558
38	3640	89701
39	3783	90796
40	3932	91986
41	4147	94595
42	4228	94119
43	4318	93823
44	4415	93710
45	4501	93355
46	4604	93371
47	4731	93835
48	4845	94044
49	4935	93779
50	5013	93291
51	5086	92725
52	5274	94236
53	5490	96189
54	5566	95634
55	5661	95443
56	5702	94340
57	5784	93942
58	5862	93501
59	5966	93482
60	6084	93665
61	6154	93117
62	6234	92726
63	6297	92094
64	6371	91658
65	6459	91414
66	6663	92784
67	6696	91784
68	6749	91069
69	6811	90497
70	6908	90397
71	6957	89677
72	6977	88608
73	7019	87835
74	7069	87194
75	7118	86550
76	7159	85819
77	7216	85307
78	7270	84761
79	7323	84215
80	7374	83668
81	7425	83124
82	7477	82611
83	7528	82095
84	7581	81615
85	7601	80788
86	7654	80331
87	7789	80727
88	7843	80285
89	7901	79890
90	7950	79418
91	8001	78972
92	8049	78504
93	8113	78201
94	8172	77855
95	8222	77428
96	8256	76859
97	8313	76515
98	8372	76196
99	8426	75839
100	8480	75488
101	8529	75096
102	8581	74732
103	8634	74392
104	8681	73997
105	8701	73386
106	8749	73022
107	8805	72725
108	8937	73061
109	8985	72704
110	9033	72346
111	9081	72006
112	9128	71650
113	9174	71303
114	9220	70959
115	9268	70635
116	9316	70309
117	9361	69972
118	9520	70485
119	9607	70455
120	9681	70330
121	9743	70124
122	9801	69884
123	9860	69656
124	9909	69368
125	10028	69560
126	10080	69293
127	10131	69017
128	10179	68730
129	10231	68474
130	10267	68112
131	10312	67815
132	10362	67549
133	10417	67327
134	10498	67271
135	10573	67173
136	10655	67120
137	10738	67074
138	10820	67025
139	10900	66962
140	10987	66937
141	11220	67797
142	11330	67901
143	11484	68267
144	11578	68271
145	11652	68157
146	11727	68052
147	11813	68010
148	11910	68026
149	11947	67704
150	12019	67581
151	12095	67477
152	12161	67323
153	12249	67291
154	12470	67985
155	12540	67845
156	12606	67691
157	12691	67636
158	12775	67572
159	12860	67517
160	12900	67225
161	12977	67128
162	13055	67041
163	13151	67039
164	13244	67024
165	13322	66933
166	13397	66828
167	13484	66778
168	13741	67569
169	13816	67455
170	13890	67341
171	13971	67256
172	14010	66976
173	14092	66897
174	14167	66789
175	14196	66465
176	14272	66361
177	14350	66269
178	14432	66196
179	14468	65912
180	14549	65835
181	14630	65758
182	14713	65689
183	14956	66329
184	15042	66269
185	15118	66164
186	15194	66059
187	15274	65974
188	15349	65865
189	15430	65783
190	15506	65679
191	15585	65588
192	15658	65475
193	15739	65391
194	15811	65273
195	15881	65147
196	15963	65067
197	16395	66411
198	16480	66334
199	16561	66246
200	16643	66160
201	16709	66010
202	16801	65965
203	16899	65942
204	16991	65895
205	17070	65796
206	17150	65702
207	17230	65608
208	17306	65501
209	17385	65400
210	17626	65913
211	17703	65803
212	17784	65710
213	17862	65606
214	17942	65511
215	18029	65438
216	18110	65347
217	18184	65231
218	18245	65065
219	18322	64962
220	18394	64836
221	18444	64638
222	18514	64509
223	18604	64452
224	18844	64908
225	18936	64854
226	19022	64776
227	19109	64702
228	19199	64642
229	19238	64408
230	19317	64307
231	19397	64213
232	19474	64106
233	19541	63968
234	19617	63862
235	19689	63740
236	19765	63633
237	19845	63538
238	20149	64157
239	20280	64220
240	20352	64096
241	20421	63965
242	20480	63799
243	20551	63676
244	20611	63517
245	20680	63387
246	20756	63278
247	20842	63198
248	20938	63151
249	21010	63031
250	21094	62947
251	21175	62854
252	21367	63087
253	21481	63091
254	21571	63023
255	21671	62982
256	21762	62915
257	21844	62823
258	21924	62726
259	22014	62657
260	22109	62600
261	22183	62485
262	22226	62284
263	22302	62176
264	22383	62083
265	22595	62350
266	22706	62337
267	22791	62250
268	22862	62128
269	22935	62011
270	23017	61916
271	23094	61812
272	23142	61629
273	23223	61533
274	23303	61437
275	23357	61271
276	23438	61177
277	23512	61065
278	23589	60960
279	23667	60859
280	23903	61163
281	23983	61063
282	24052	60937
283	24125	60824
284	24208	60733
285	24300	60666
286	24377	60561
287	24454	60458
288	24535	60361
289	24614	60264
290	24707	60197
291	24795	60121
292	24873	60019
293	25084	60235
294	25171	60156
295	25261	60081
296	25336	59972
297	25407	59853
298	25496	59777
299	25569	59662
300	25646	59557
301	25729	59467
302	25810	59373
303	25884	59262
304	25959	59154
305	26035	59047
306	26206	59156
307	26350	59202
308	26431	59106
309	26504	58994
310	26581	58888
311	26662	58795
312	26738	58687
313	26825	58604
314	26902	58501
315	26976	58393
316	27056	58294
317	27130	58184
318	27212	58093
319	27313	58040
320	27718	58631
321	27790	58514
322	27857	58388
323	27933	58280
324	28008	58170
325	28106	58108
326	28198	58035
