iter	Logloss	Accuracy
0	0.6823327782	0.78125
1	0.666450534	0.78125
2	0.6506889011	0.805
3	0.6375832131	0.805
4	0.6249165449	0.805
5	0.613567426	0.8025
6	0.6019448188	0.80375
7	0.592112597	0.8025
8	0.5844536464	0.8025
9	0.5737572708	0.8025
10	0.5651051504	0.80625
11	0.5572035336	0.805
12	0.5512784932	0.80375
13	0.5445611479	0.805
14	0.5381086108	0.80375
15	0.5319821084	0.80375
16	0.5266398186	0.80375
17	0.5208661546	0.805
18	0.5145858131	0.80625
19	0.5093147959	0.8025
20	0.5048158831	0.8025
21	0.5001256868	0.80375
22	0.4958351663	0.80375
23	0.4919598092	0.805
24	0.4877320077	0.805
25	0.4844808479	0.805
26	0.4803146694	0.8075
27	0.4773474266	0.8075
28	0.4739990962	0.80875
29	0.4717268892	0.805
30	0.4693785853	0.80625
31	0.4668009575	0.805
32	0.4642069062	0.80625
33	0.4618667639	0.8075
34	0.4594773707	0.8075
35	0.4568490663	0.8075
36	0.4545494355	0.8075
37	0.4530136093	0.80625
38	0.4511525134	0.80625
39	0.4493598284	0.805
40	0.4485568771	0.805
41	0.4469369936	0.80625
42	0.4444891624	0.80625
43	0.4436959705	0.80625
44	0.4421735309	0.81125
45	0.4401485576	0.81625
46	0.4392483844	0.81875
47	0.4387536976	0.81875
48	0.4375185865	0.82
49	0.4340930113	0.82
50	0.4323583943	0.8225
51	0.4310171593	0.82375
52	0.4289238687	0.82375
53	0.4269895179	0.8225
54	0.4264783272	0.82375
55	0.424919515	0.8275
56	0.4224113199	0.83
57	0.4208736816	0.83
58	0.4192483401	0.83
59	0.4184224117	0.8325
60	0.4165784346	0.8325
61	0.4153320348	0.835
62	0.4139611807	0.83625
63	0.4124427151	0.83625
64	0.4107684031	0.83625
65	0.4089204016	0.83625
66	0.4078710861	0.835
67	0.4052445624	0.84
68	0.4029033813	0.84125
69	0.4020378764	0.845
70	0.4012031604	0.8425
71	0.4010619684	0.8425
72	0.4000319709	0.8425
73	0.3994535498	0.8425
74	0.3986239614	0.8425
75	0.3966446475	0.84375
76	0.3956463155	0.84375
77	0.395095494	0.8425
78	0.3946169084	0.84625
79	0.393403696	0.84625
80	0.3919869692	0.85
81	0.3914442876	0.85
82	0.3901640659	0.85
83	0.3901484148	0.85
84	0.3895179897	0.85
85	0.389042529	0.85
86	0.3883391187	0.85
87	0.3867574443	0.85
88	0.3861661767	0.85125
89	0.3855990907	0.85
90	0.3849841902	0.8525
91	0.3844445133	0.85
92	0.3841574414	0.84875
93	0.3831721053	0.855
94	0.3829378049	0.85375
95	0.3822266288	0.8525
96	0.3815168537	0.85625
97	0.3806758061	0.8575
98	0.3798245676	0.8575
99	0.3796121144	0.8575
100	0.3792292143	0.85875
101	0.3788288658	0.85875
102	0.3781032572	0.85625
103	0.377054549	0.85625
104	0.3763478298	0.8575
105	0.3757187649	0.85875
106	0.3743494348	0.85875
107	0.3737046101	0.86
108	0.3726636645	0.8625
109	0.3722695006	0.8625
110	0.3712184878	0.86375
111	0.3708584254	0.865
112	0.3701229122	0.865
113	0.3695042812	0.865
114	0.3689995852	0.865
115	0.3684380902	0.86625
116	0.3675254406	0.865
117	0.3675183804	0.865
118	0.3675115888	0.865
119	0.3670166673	0.865
120	0.3664098899	0.865
121	0.3654016684	0.865
122	0.3647417792	0.865
123	0.3638875625	0.865
124	0.3630132686	0.865
125	0.3625768099	0.86625
126	0.36140045	0.86625
127	0.3610088245	0.86625
128	0.3607950877	0.86625
129	0.3593335342	0.86625
130	0.358459466	0.86625
131	0.3579630149	0.86625
132	0.3574907647	0.86625
133	0.3568791323	0.86625
134	0.3556239895	0.86625
135	0.3555688603	0.86625
136	0.3550334718	0.86875
137	0.3539941636	0.87125
138	0.3531619221	0.87125
139	0.3531250648	0.87125
140	0.3528577073	0.87125
141	0.35209445	0.87125
142	0.3516221944	0.87
143	0.3513814125	0.87
144	0.3507668938	0.87125
145	0.350504624	0.87125
146	0.3502510451	0.87125
147	0.3501723178	0.87125
148	0.3498029335	0.87125
149	0.3489113775	0.8725
150	0.3486268881	0.8725
151	0.3481387306	0.8725
152	0.3480982178	0.8725
153	0.3476222976	0.8725
154	0.3468315189	0.87375
155	0.3464770589	0.87375
156	0.3458674883	0.87375
157	0.3458659054	0.87375
158	0.3458628377	0.87375
159	0.3454124198	0.87375
160	0.3450972734	0.87375
161	0.3448922859	0.87375
162	0.3448877208	0.87375
163	0.3444387764	0.8725
164	0.3440724409	0.87375
165	0.3438411258	0.87375
166	0.343263009	0.87375
167	0.3427283653	0.87375
168	0.3426320705	0.87375
169	0.3420384719	0.875
