iter	Passed	Remaining
0	26	26602
1	124	62067
2	264	87981
3	681	169683
4	950	189100
5	1241	205621
6	1621	230002
7	1718	213138
8	1824	200872
9	1915	189637
10	2018	181454
11	2072	170659
12	2141	162574
13	2192	154428
14	2243	147313
15	2318	142567
16	2350	135938
17	2420	132041
18	2485	128330
19	2542	124594
20	2610	121707
21	2824	125561
22	3318	140948
23	3613	146968
24	3897	152017
25	4114	154118
26	4452	160465
27	4520	156932
28	4589	153672
29	4668	150937
30	4736	148069
31	4797	145127
32	4846	142002
33	4913	139594
34	4983	137403
35	5058	135461
36	5129	133502
37	5213	131974
38	5308	130815
39	5449	130789
40	5537	129517
41	5807	132461
42	6102	135820
43	6512	141508
44	7036	149322
45	7121	147696
46	7172	145439
47	7233	143462
48	7316	141997
49	7402	140644
50	7492	139422
51	7562	137861
52	7638	136481
53	7705	134987
54	7774	133581
55	7851	132349
56	7915	130961
57	8017	130209
58	8229	131259
59	8516	133425
60	8811	135634
61	9099	137661
62	9194	136750
63	9275	135647
64	9352	134535
65	9419	133296
66	9506	132376
67	9583	131355
68	9654	130265
69	9721	129153
70	9796	128184
71	9841	126851
72	9943	126269
73	10038	125621
74	10122	124844
75	10405	126507
76	10713	128425
77	10995	129972
78	11261	131289
79	11691	134455
80	11755	133377
81	11814	132265
82	11881	131273
83	11912	129897
84	11979	128957
85	12048	128049
86	12110	127090
87	12170	126129
88	12231	125200
89	12310	124470
90	12393	123798
91	12476	123139
92	12541	122317
93	12607	121511
94	12662	120628
95	12801	120545
96	13278	123615
97	13527	124509
98	13811	125699
99	14139	127252
100	14245	126802
101	14350	126343
102	14438	125743
103	14520	125103
104	14590	124368
105	14656	123610
106	14717	122825
107	14774	122027
108	14839	121301
109	14916	120690
110	14976	119950
111	15050	119326
112	15107	118585
113	15268	118666
114	15538	119579
115	16002	121949
116	16302	123033
117	16641	124389
118	16696	123608
119	16773	123003
120	16846	122382
121	16948	121971
122	17038	121482
123	17126	120987
124	17207	120453
125	17287	119915
126	17369	119398
127	17445	118848
128	17530	118368
129	17606	117828
130	17723	117572
131	17936	117947
132	18265	119069
133	18542	119833
134	18821	120599
135	19401	123256
136	19490	122775
137	19599	122422
138	19694	121991
139	19753	121340
140	19859	120985
141	19942	120499
142	20007	119906
143	20067	119290
144	20126	118677
145	20182	118055
146	20249	117502
147	20322	116993
148	20439	116740
149	20685	117218
150	21005	118102
151	21352	119126
152	21541	119254
153	21821	119875
154	21889	119334
155	21957	118794
156	22029	118283
157	22066	117594
158	22093	116860
159	22174	116414
160	22249	115944
161	22317	115446
162	22344	114738
163	22412	114249
164	22500	113867
165	22600	113547
166	22685	113155
167	22762	112730
168	22872	112466
169	23286	113694
170	23566	114249
171	23845	114790
172	24244	115897
173	24332	115510
174	24411	115084
175	24484	114631
176	24553	114166
177	24621	113703
178	24712	113348
179	24782	112899
180	24852	112454
181	24930	112051
182	25008	111651
183	25090	111270
184	25167	110874
185	25235	110441
186	25367	110286
187	25899	111862
188	26161	112259
189	26540	113144
190	26914	113997
191	27001	113630
192	27074	113207
193	27150	112799
194	27234	112430
195	27331	112115
196	27430	111810
197	27524	111486
198	27620	111175
199	27710	110840
200	27782	110436
201	27809	109862
202	27879	109459
203	28054	109468
204	28384	110077
205	28639	110386
206	29139	111631
207	29407	111974
208	29487	111599
209	29553	111179
210	29631	110802
211	29702	110405
212	29782	110040
213	29841	109604
214	29897	109160
215	29960	108746
216	30029	108355
217	30096	107960
218	30170	107593
219	30260	107288
220	30357	107006
221	30477	106810
222	30592	106595
223	30856	106896
224	31172	107372
225	31421	107611
226	31909	108661
227	31985	108303
228	32049	107904
229	32114	107512
230	32196	107182
231	32274	106839
232	32341	106462
233	32405	106080
234	32481	105738
235	32547	105366
236	32627	105042
237	32708	104721
238	32818	104496
239	32920	104249
240	33221	104627
241	33511	104966
