iter	Logloss	Accuracy
0	0.676177723	0.805
1	0.6604139949	0.80625
2	0.6441286892	0.80875
3	0.62780249	0.81625
4	0.6151198196	0.81625
5	0.6031150294	0.815
6	0.5912853885	0.8175
7	0.5805495436	0.8175
8	0.5713034203	0.81625
9	0.5607559466	0.8175
10	0.5519059773	0.8175
11	0.5472881505	0.815
12	0.5383188892	0.81625
13	0.5311732025	0.81625
14	0.5246612964	0.81875
15	0.5191231182	0.81875
16	0.512214338	0.8175
17	0.5054229047	0.8175
18	0.499208181	0.81875
19	0.4948485963	0.81875
20	0.4911606137	0.8175
21	0.4870745595	0.8175
22	0.4832068398	0.8175
23	0.4798840091	0.8175
24	0.4773805248	0.8175
25	0.4737548884	0.81875
26	0.4710489038	0.8175
27	0.4681932017	0.81875
28	0.4645741597	0.81875
29	0.4606727527	0.815
30	0.4588483061	0.8175
31	0.4555051269	0.82125
32	0.4513111055	0.8225
33	0.4489719813	0.8225
34	0.4468940873	0.82125
35	0.4444478528	0.8225
36	0.4429876408	0.8225
37	0.4403103467	0.8225
38	0.4377990719	0.82375
39	0.436196365	0.82
40	0.434900471	0.82
41	0.4337760902	0.82125
42	0.4311302379	0.82125
43	0.4288848104	0.82375
44	0.4263678353	0.825
45	0.4234393108	0.82375
46	0.4209634437	0.82625
47	0.4180210584	0.83
48	0.4163659151	0.83125
49	0.4155389329	0.83125
50	0.4142077708	0.8325
51	0.4128370972	0.8325
52	0.4119435416	0.83125
53	0.4101561992	0.835
54	0.4098321518	0.83625
55	0.4087714939	0.83375
56	0.4078824912	0.835
57	0.4063123401	0.83625
58	0.4051628387	0.83625
59	0.4042609674	0.8375
60	0.4030739273	0.8375
61	0.4029723726	0.8375
62	0.4017346522	0.8375
63	0.3994402624	0.8375
64	0.3988080754	0.83875
65	0.3978150678	0.83875
66	0.3967408507	0.83875
67	0.395669306	0.84
68	0.3947234853	0.84
69	0.3945015941	0.83875
70	0.3940166532	0.83875
71	0.3929271119	0.84125
72	0.3928688043	0.84125
73	0.3920019545	0.84125
74	0.3910910897	0.84375
75	0.3909363893	0.84
76	0.3887431979	0.84
77	0.3887301434	0.84
78	0.3884989294	0.84
79	0.3877559921	0.84
80	0.3870582126	0.84
81	0.3865340907	0.84
82	0.385189602	0.84
83	0.3850551751	0.84
84	0.3845178262	0.84
85	0.383723718	0.84125
86	0.3837003787	0.84125
87	0.3827148984	0.8425
88	0.3826820456	0.8425
89	0.3820981267	0.8425
90	0.3806050716	0.845
91	0.3804026211	0.84625
92	0.3796800354	0.84625
