iter	Passed	Remaining
0	58	58813
1	100	50029
2	195	64851
3	267	66672
4	340	67773
5	410	67976
6	665	94424
7	940	116578
8	1014	111672
9	1067	105692
10	1155	103870
11	1242	102321
12	1301	98796
13	1361	95895
14	1437	94370
15	1518	93379
16	1589	91935
17	1642	89624
18	1853	95705
19	2206	108101
20	2263	105521
21	2370	105396
22	2450	104079
23	2543	103443
24	2601	101475
25	2675	100241
26	2753	99230
27	2831	98297
28	2986	100010
29	3116	100768
30	3179	99395
31	3256	98501
32	3694	108255
33	3946	112128
34	3989	110000
35	4064	108837
36	4156	108175
37	4233	107173
38	4304	106065
39	4375	105022
40	4450	104091
41	4532	103381
42	4607	102553
43	4720	102561
44	4820	102302
45	4948	102632
46	5178	105010
47	5454	108181
48	5540	107524
49	5628	106950
50	5706	106190
51	5791	105578
52	5867	104842
53	5947	104192
54	5975	102666
55	6056	102100
56	6124	101316
57	6201	100722
58	6299	100473
59	6364	99703
60	6497	100011
61	6587	99666
62	6883	102383
63	7093	103744
64	7181	103300
65	7264	102797
66	7343	102265
67	7418	101675
68	7493	101109
69	7569	100572
70	7647	100069
71	7727	99596
72	7813	99220
73	7894	98792
74	7971	98315
75	8057	97966
76	8274	99183
77	8602	101685
78	8699	101418
79	8737	100480
80	8832	100212
81	8928	99956
82	9009	99535
83	9103	99274
84	9185	98878
85	9268	98507
86	9340	98023
87	9408	97502
88	9483	97071
89	9554	96602
90	9839	98284
91	10085	99534
92	10349	100936
93	10430	100536
94	10512	100146
95	10554	99388
96	10628	98948
97	10711	98587
98	10787	98173
99	10820	97383
100	10890	96939
101	10970	96586
102	11050	96235
103	11124	95843
104	11198	95457
105	11271	95061
106	11339	94640
107	11498	94966
108	11876	97083
109	11956	96741
110	12039	96422
111	12113	96042
112	12179	95607
113	12258	95275
114	12290	94581
115	12370	94269
116	12439	93877
117	12521	93593
118	12597	93264
119	12675	92957
120	12747	92605
121	12811	92201
122	12847	91604
123	12946	91457
124	13210	92472
125	13439	93225
126	13524	92970
127	13611	92727
128	13658	92220
129	13725	91856
130	13745	91182
131	13811	90819
132	13885	90516
133	13965	90256
134	14044	89990
135	14122	89722
136	14172	89278
137	14264	89103
138	14335	88799
139	14414	88543
140	14787	90088
141	15073	91077
142	15283	91592
143	15381	91434
144	15506	91435
145	15650	91547
146	15736	91316
147	15798	90950
148	15853	90547
149	15918	90207
150	15980	89847
151	16044	89508
152	16082	89032
153	16142	88677
154	16198	88307
155	16353	88475
156	16618	89230
157	16783	89438
158	16878	89276
159	16963	89060
160	17042	88810
161	17122	88569
162	17197	88310
163	17276	88065
164	17332	87712
165	17412	87479
166	17493	87260
167	17577	87049
168	17654	86808
169	17731	86572
170	17930	86924
171	18272	87963
172	18364	87789
173	18454	87605
174	18527	87344
175	18597	87069
176	18670	86813
177	18759	86630
178	18834	86384
179	18913	86161
180	18987	85916
181	19057	85655
182	19128	85399
183	19207	85179
184	19283	84950
185	19751	86437
186	19925	86630
187	20137	86977
188	20235	86830
189	20318	86619
190	20403	86421
191	20479	86184
192	20554	85945
193	20628	85702
194	20704	85473
195	20782	85251
196	20860	85031
197	20935	84799
198	21008	84560
199	21091	84365
200	21333	84801
201	21601	85334
202	21732	85323
203	21811	85106
204	21892	84901
205	21975	84702
206	22053	84486
207	22135	84286
208	22212	84069
209	22289	83849
210	22336	83523
211	22375	83168
212	22455	82968
213	22533	82763
214	22612	82563
215	22702	82402
216	22924	82719
217	23080	82792
218	23297	83084
219	23391	82934
220	23472	82736
221	23545	82515
222	23626	82321
223	23712	82145
224	23784	81923
225	23811	81549
226	23881	81322
227	23955	81112
228	23987	80760
229	24018	80409
230	24102	80235
231	24170	80013
232	24253	79837
233	24511	80237
234	25077	81633
235	25163	81462
236	25248	81284
237	25279	80936
238	25354	80730
239	25432	80537
240	25521	80377
241	25600	80186
242	25683	80010
243	25715	79674
244	25788	79470
245	25861	79265
246	25930	79049
247	26002	78847
248	26084	78673
249	26330	78990
250	26667	79576
251	26742	79378
252	26785	79086
253	26812	78749
254	26884	78543
255	26971	78385
256	27043	78183
257	27112	77974
258	27164	77717
259	27241	77533
260	27273	77223
261	27339	77010
262	27419	76836
263	27503	76676
264	27578	76491
265	27664	76336
266	28056	77023
267	28342	77412
268	28407	77196
269	28485	77015
270	28561	76830
271	28629	76625
272	28692	76409
273	28758	76200
274	28820	75982
275	28881	75760
276	28947	75556
277	29018	75364
278	29092	75180
279	29168	75005
280	29241	74821
281	29321	74654
282	29509	74763
283	29826	75197
284	30215	75802
285	30318	75691
286	30433	75606
287	30467	75321
288	30536	75126
289	30615	74955
290	30704	74808
291	30774	74616
292	30850	74441
293	30921	74252
294	30990	74062
295	31084	73930
296	31190	73828
297	31470	74136
298	31735	74402
299	31824	74257
300	31906	74095
301	31976	73905
302	32048	73723
303	32117	73531
304	32194	73360
305	32266	73180
306	32343	73010
307	32422	72845
308	32498	72675
309	32574	72504
310	32651	72336
311	32723	72159
312	32957	72337
