iter	Logloss	Accuracy
0	0.6755434786	0.81875
1	0.6591230653	0.81875
2	0.6430973408	0.8175
3	0.6276715564	0.82375
4	0.6146802328	0.82375
5	0.6029616656	0.82375
6	0.5896373816	0.82375
7	0.5787272227	0.815
8	0.5681989758	0.82375
9	0.5597111662	0.82375
10	0.5507079548	0.8225
11	0.5430220498	0.82375
12	0.5356222789	0.8225
13	0.5308138713	0.82375
14	0.5238737689	0.82375
15	0.5186140757	0.8225
16	0.5125681528	0.8225
17	0.5081553377	0.8225
18	0.5021595834	0.82125
19	0.4969911807	0.825
20	0.4924971769	0.825
21	0.4869396681	0.8225
22	0.4827387177	0.8225
23	0.4792997897	0.82375
24	0.4758135436	0.8225
25	0.4717970596	0.825
26	0.4682944671	0.8225
27	0.4643139761	0.8225
28	0.4616786738	0.8225
29	0.4588535585	0.8225
30	0.4561062823	0.825
31	0.4527196374	0.82375
32	0.4492664778	0.825
33	0.445079379	0.8275
34	0.4439527509	0.82625
35	0.4418034297	0.83
36	0.439279682	0.8325
37	0.4374981848	0.83375
38	0.4356797252	0.8275
39	0.4335063826	0.83125
40	0.4306958217	0.82875
41	0.4278987715	0.83
42	0.4254687351	0.83
43	0.4235610009	0.82875
44	0.4222277565	0.83
45	0.4200816307	0.83125
46	0.4194565096	0.83125
47	0.4177208458	0.83125
48	0.4152030794	0.83125
49	0.4130709336	0.83125
50	0.4118688896	0.83125
51	0.4102131289	0.83125
52	0.4082601025	0.8325
53	0.4068277407	0.8325
54	0.406582233	0.8325
55	0.4053153558	0.835
56	0.4042075058	0.83625
57	0.4031425842	0.83625
58	0.4020009234	0.835
59	0.4016047717	0.83375
60	0.4002517497	0.83625
61	0.3999914755	0.83625
62	0.3986251337	0.83625
63	0.3969465001	0.83625
64	0.396216264	0.83625
65	0.3956797263	0.83625
66	0.3942450871	0.835
67	0.3925366312	0.83625
68	0.3915652755	0.83625
69	0.3896530292	0.8375
70	0.3889053014	0.8375
71	0.3880619322	0.8375
72	0.3872072568	0.8375
73	0.3860406826	0.83875
74	0.384610326	0.84
75	0.3825292075	0.84125
76	0.3818699083	0.84125
77	0.3811632691	0.84125
78	0.3794441593	0.8425
79	0.3794345538	0.8425
80	0.3778678124	0.8425
81	0.3761816202	0.8425
82	0.3754056529	0.84125
83	0.3747910914	0.84125
84	0.3742585362	0.8425
85	0.3724584623	0.84375
86	0.3721620936	0.845
87	0.3713060264	0.84375
88	0.3698242961	0.845
89	0.3693323107	0.845
90	0.3686697596	0.84625
91	0.3680561833	0.8475
92	0.3680113429	0.8475
93	0.3673540072	0.84875
94	0.3663844321	0.84875
95	0.3663502492	0.8475
96	0.3657093651	0.84875
97	0.3651085963	0.8475
98	0.3646622329	0.8475
99	0.3646603819	0.8475
100	0.3642657998	0.84875
101	0.3633446219	0.84875
102	0.3626834344	0.84875
103	0.3617631729	0.84875
104	0.3612203515	0.85125
105	0.3607112318	0.85
106	0.360551357	0.85125
107	0.3605339132	0.85125
108	0.3595559243	0.8525
109	0.3585230291	0.8525
110	0.3576449815	0.85375
111	0.3569375021	0.85375
112	0.3565351452	0.85125
113	0.3561026277	0.8525
114	0.3561021966	0.8525
115	0.355557151	0.85375
116	0.3549077518	0.8525
117	0.3547436316	0.85125
118	0.3534334543	0.8575
119	0.3526856052	0.8575
120	0.3521412119	0.8575
121	0.3519687017	0.8575
122	0.3518963009	0.8575
123	0.3514755708	0.85875
124	0.3512650212	0.85875
125	0.3503640467	0.85875
126	0.3501035778	0.85875
127	0.3496361012	0.8575
128	0.3495546232	0.8575
129	0.3489662791	0.85875
130	0.3489662722	0.85875
131	0.3484354128	0.85875
132	0.3468439731	0.85875
133	0.3460005978	0.85875
134	0.3444714095	0.8575
135	0.3439562875	0.8575
136	0.3438971089	0.8575
137	0.3436772043	0.85875
138	0.3432560575	0.85875
139	0.3423984344	0.86125
140	0.3408217484	0.86125
141	0.340380481	0.86125
142	0.339960733	0.86
143	0.3395534566	0.86125
144	0.3390514265	0.8625
145	0.3381604855	0.8625
146	0.3380413315	0.8625
147	0.3374861987	0.865
148	0.3371229626	0.865
149	0.3365467298	0.86625
150	0.3362792035	0.86625
151	0.3357823031	0.865
152	0.3357554219	0.865
153	0.3352924343	0.865
154	0.3350739581	0.865
155	0.3346590323	0.865
156	0.3343871783	0.865
157	0.3341515803	0.86375
158	0.3336256652	0.8675
159	0.3333315337	0.86625
160	0.3327003978	0.86625
161	0.3320544484	0.86625
162	0.3312284088	0.86875
163	0.3308026213	0.86875
164	0.3307389367	0.86875
165	0.3301538791	0.87125
166	0.3295731521	0.8725
167	0.3287470482	0.87375
168	0.3277776204	0.8725
169	0.3272041828	0.87625
170	0.3271669758	0.875
171	0.3266303653	0.87875
172	0.3261047447	0.87875
173	0.3257776647	0.87875
174	0.325246607	0.88
175	0.3250483373	0.8825
176	0.324666495	0.8825
177	0.3244076273	0.8825
178	0.3241219743	0.8825
179	0.323717748	0.88125
180	0.323583054	0.8825
181	0.3228379442	0.8825
182	0.3225310339	0.8825
183	0.3218053283	0.88375
184	0.3213678595	0.88375
185	0.320646457	0.8825
186	0.3206441775	0.8825
187	0.3189863014	0.88375
188	0.3183607664	0.88375
189	0.317840938	0.88375
190	0.3176438312	0.88375
191	0.3173994019	0.885
192	0.3172222271	0.885
193	0.3167939758	0.885
194	0.3161354043	0.885
195	0.3154447397	0.885
196	0.3151645649	0.885
197	0.3140023281	0.885
198	0.3138139346	0.885
199	0.3135426686	0.885
200	0.3131017267	0.885
201	0.3128419525	0.885
202	0.3128257347	0.885
203	0.3125222905	0.88625
204	0.3119445239	0.885
205	0.3116404468	0.885
206	0.310939105	0.88625
207	0.3102093337	0.8875
208	0.3098919565	0.8875
209	0.3092180751	0.8875
210	0.3092141108	0.8875
211	0.3092124278	0.8875
212	0.3089710513	0.8875
213	0.3086655414	0.88875
214	0.3080594414	0.88875
215	0.3079207918	0.88875
216	0.3075678834	0.88875
217	0.3075677788	0.88875
218	0.3073835693	0.88875
219	0.3071743375	0.88875
220	0.306635	0.88875
221	0.3057129336	0.89
222	0.3055744329	0.89
223	0.3050697451	0.89
224	0.3044384692	0.89125
225	0.3044384257	0.89125
226	0.3042893685	0.89
227	0.3038265634	0.89
228	0.3038251286	0.89
229	0.303825125	0.89
230	0.3036109641	0.89
231	0.3032471058	0.89
232	0.3026810587	0.89
233	0.3016910506	0.89125
234	0.3014769663	0.8925
235	0.3005727163	0.8925
