iter	Logloss	Accuracy
0	0.6821945994	0.7825
1	0.6662921476	0.7825
2	0.6495684943	0.7825
3	0.634814422	0.7825
4	0.6221479324	0.78625
5	0.6106867864	0.8
6	0.6036875904	0.785
7	0.5932157739	0.8
8	0.5820141377	0.8025
9	0.5729343039	0.8025
10	0.5623821314	0.80375
11	0.5532934422	0.805
12	0.5488476768	0.80375
13	0.5419381732	0.80375
14	0.537924795	0.80125
15	0.5307915383	0.80625
16	0.5252355181	0.80625
17	0.5187893095	0.80625
18	0.5127591079	0.80625
19	0.507118666	0.805
20	0.5015705264	0.80625
21	0.4971327408	0.8075
22	0.4928263504	0.8075
23	0.489359372	0.8075
24	0.4858902618	0.80625
25	0.4823881896	0.8025
26	0.4796872755	0.8025
27	0.4758755828	0.8025
28	0.4722432832	0.80875
29	0.4693895135	0.8075
30	0.4666367528	0.8075
31	0.4640330846	0.8075
32	0.4607819075	0.8075
33	0.4583423706	0.8075
34	0.4552188985	0.80875
35	0.4545266147	0.805
36	0.4519389829	0.80625
37	0.4481631135	0.8125
38	0.4461509997	0.815
39	0.4441336242	0.81625
40	0.4412781211	0.81875
41	0.4391949971	0.8175
42	0.4374939865	0.8175
43	0.4362500534	0.82
44	0.4354786366	0.82375
45	0.4332704107	0.825
46	0.43210805	0.8275
47	0.4317467489	0.82625
48	0.4311377326	0.82625
49	0.4308479	0.825
50	0.428721877	0.82875
51	0.4269839558	0.83
52	0.4262644203	0.82875
53	0.4247210496	0.83125
54	0.4237321115	0.82875
55	0.4224163323	0.8275
56	0.4208287097	0.83125
57	0.4201143953	0.83125
58	0.4184566466	0.83125
59	0.4173878441	0.83125
60	0.4152677717	0.83
61	0.4144722489	0.8325
62	0.4138163096	0.8325
63	0.4136278462	0.83125
64	0.4128921258	0.8325
65	0.4124450524	0.83125
66	0.4117324026	0.83125
67	0.4110750788	0.83
68	0.4098532013	0.83125
69	0.40830596	0.83125
70	0.4073844217	0.82875
71	0.4067147285	0.83
72	0.4055204543	0.83
73	0.404185435	0.83125
74	0.4027395299	0.83125
75	0.401980904	0.83125
76	0.4015823025	0.83125
77	0.4015420144	0.83125
78	0.4004341783	0.8275
79	0.3997510658	0.83
80	0.398486353	0.82875
81	0.3983451485	0.8275
82	0.3966301656	0.83
83	0.3957599875	0.83125
84	0.3954375648	0.83125
85	0.394507576	0.83125
86	0.3938884286	0.83125
87	0.3931767223	0.83
88	0.3924856884	0.8325
89	0.3914257064	0.8325
90	0.3906322123	0.835
91	0.3903732422	0.835
92	0.3892984487	0.835
93	0.3890952242	0.83625
94	0.3879239147	0.835
95	0.3877261576	0.835
96	0.3868103899	0.8375
97	0.3857697413	0.835
98	0.3844581992	0.835
99	0.3833931389	0.835
100	0.3827824802	0.835
101	0.3820864358	0.83625
102	0.3807254163	0.84
103	0.3807243844	0.84
104	0.3805301553	0.84
105	0.379448721	0.84125
106	0.3786108659	0.84
107	0.3777301659	0.8425
108	0.3770666617	0.8425
109	0.3762156533	0.84125
110	0.3743545433	0.84375
111	0.3743539316	0.84375
112	0.3732707848	0.845
113	0.3728965449	0.84625
114	0.372220866	0.84625
115	0.3719487627	0.84625
116	0.3714938958	0.84625
117	0.3709586865	0.84875
118	0.3701026418	0.85
119	0.3695240496	0.84875
120	0.368493199	0.84875
121	0.3678315994	0.84875
122	0.3670667406	0.85125
123	0.3664741556	0.85
124	0.3655874319	0.84875
125	0.3651930463	0.8475
126	0.3645291956	0.85
127	0.3638666045	0.85125
128	0.3624551046	0.8525
129	0.3624551021	0.8525
130	0.3617620148	0.8525
131	0.3613007842	0.8525
132	0.3609966374	0.8525
133	0.3609742261	0.8525
134	0.3609742251	0.8525
135	0.3609742236	0.8525
136	0.3602403347	0.85375
137	0.3588739738	0.855
138	0.3583204788	0.8575
139	0.3575069661	0.85625
140	0.3564426508	0.85875
141	0.3555218148	0.86
142	0.3552918671	0.85875
143	0.3552918663	0.85875
144	0.3541520991	0.85625
145	0.3539079527	0.85875
146	0.3536889362	0.86
147	0.3536320324	0.85875
148	0.3533130946	0.85875
149	0.3532416566	0.85875
150	0.3531225055	0.85875
151	0.3520221535	0.86
152	0.3518731387	0.86125
153	0.3511456926	0.85875
154	0.3505217491	0.86125
155	0.3497048435	0.86125
156	0.3496127491	0.86125
157	0.3493434977	0.86125
158	0.3482766588	0.86375
159	0.3474355513	0.865
160	0.3469516488	0.86375
161	0.3466778393	0.8625
162	0.3462951064	0.8625
163	0.3460022267	0.86125
164	0.345161027	0.86125
165	0.3449272222	0.86
166	0.3444885247	0.8625
167	0.3438940063	0.865
168	0.3434507327	0.8675
169	0.3426304063	0.86875
170	0.3409232056	0.87
171	0.3409231924	0.87
172	0.339852046	0.87
173	0.3391195534	0.87
174	0.3389634728	0.87
175	0.3384639859	0.87125
176	0.3380978582	0.8725
177	0.3375620858	0.87125
178	0.337166834	0.8725
179	0.3365848527	0.8725
180	0.3364700781	0.87125
181	0.3359865053	0.8725
182	0.3359804152	0.8725
183	0.3352557697	0.8725
184	0.3346682866	0.8725
185	0.3340028934	0.875
186	0.3336277432	0.875
187	0.333617707	0.875
188	0.3325645772	0.87375
189	0.3321125084	0.875
190	0.3313131149	0.87875
191	0.3311708171	0.87875
192	0.3302471357	0.88
193	0.3300546808	0.88
194	0.3299923665	0.88
195	0.3294026136	0.88125
196	0.3289207938	0.88375
197	0.3284137205	0.8825
198	0.3282292889	0.8825
199	0.3275267316	0.8875
200	0.3273654266	0.8875
201	0.3272092308	0.8875
202	0.3267330418	0.88875
203	0.3264139723	0.88875
204	0.3251153425	0.8875
205	0.3247735487	0.88875
206	0.3241672921	0.89125
207	0.3240538819	0.89125
208	0.3236369037	0.89
209	0.3232602703	0.89
210	0.3227660047	0.89
211	0.3225180871	0.89
212	0.3222902051	0.89
213	0.3218785209	0.89
214	0.3211736553	0.89125
215	0.3210727599	0.89125
216	0.3206275793	0.89125
217	0.3201722873	0.89125
218	0.3201103219	0.89125
219	0.3194117061	0.89125
220	0.3186152771	0.89125
221	0.3184399247	0.89125
222	0.3184015359	0.89125
223	0.3180281834	0.89125
224	0.3176608344	0.89125
225	0.3175924005	0.89125
226	0.3173048123	0.89125
227	0.3173046097	0.89125
228	0.3171647328	0.89125
229	0.3163651684	0.89125
230	0.3159064758	0.89125
231	0.3152397351	0.8925
232	0.3150242341	0.8925
233	0.3143358486	0.8925
234	0.3139495287	0.89375
235	0.313370809	0.8925
236	0.3129659165	0.8925
237	0.3126157049	0.8925
238	0.312358729	0.8925
239	0.3122654676	0.8925
240	0.3121151993	0.8925
241	0.3114162053	0.89375
242	0.3109287376	0.89375
243	0.3103461906	0.895
244	0.3094835743	0.8975
245	0.3086938075	0.89625
246	0.307505708	0.89625
247	0.3072359175	0.89625
248	0.3065056024	0.89625
249	0.3061912599	0.89625
250	0.3057965481	0.8975
251	0.3054901679	0.8975
252	0.3052578336	0.8975
253	0.3051902389	0.89875
254	0.3050826973	0.89875
255	0.3047209755	0.89875
256	0.304424471	0.89875
257	0.3034627373	0.8975
258	0.3029356436	0.8975
259	0.3024106333	0.89875
260	0.3014642787	0.89875
261	0.3014391067	0.89875
262	0.3011553967	0.89875
263	0.300721832	0.9
264	0.2999168725	0.9
265	0.2996918723	0.9
266	0.2996087413	0.9
267	0.2994649991	0.9
268	0.2987121354	0.89875
269	0.2984997286	0.90125
270	0.2979961822	0.9025
271	0.2973290783	0.9025
272	0.2968974364	0.9025
273	0.2966870378	0.90375
274	0.296248683	0.90375
275	0.2956869302	0.90375
276	0.2951767603	0.90375
277	0.2950922454	0.90375
278	0.2943763906	0.90625
279	0.2942678835	0.90625
280	0.2937892488	0.90625
281	0.2930615574	0.905
282	0.2926150664	0.90625
283	0.2924984039	0.90625
284	0.2924157919	0.90625
285	0.2916061898	0.90625
286	0.2908861627	0.9075
287	0.2907341278	0.9075
288	0.2904657617	0.9075
289	0.2901874007	0.9075
290	0.2898579238	0.9075
291	0.2892306804	0.9075
292	0.2883820859	0.90625
293	0.287473124	0.90875
294	0.2874412873	0.9075
295	0.2864428257	0.91
296	0.2862895439	0.91
297	0.2860095392	0.91
298	0.2859036657	0.91
299	0.2858329251	0.91
300	0.2852536205	0.91125
301	0.2851477473	0.91125
302	0.2849289534	0.91125
303	0.2844258162	0.91125
304	0.283566726	0.91
305	0.2832589472	0.91
306	0.2825463305	0.91
307	0.2821950302	0.91
308	0.2821010957	0.91
309	0.2820842911	0.91
310	0.28191128	0.91
311	0.281829712	0.91
312	0.2817090345	0.91
313	0.2813289134	0.91125
314	0.2805701741	0.91375
315	0.2797279041	0.9125
316	0.2792887397	0.91375
317	0.279235575	0.915
318	0.2791756623	0.915
319	0.27907588	0.915
320	0.2789417926	0.915
321	0.2789231356	0.915
322	0.2788851309	0.91375
323	0.2785064487	0.91375
324	0.2779627385	0.915
325	0.2778230238	0.91625
326	0.2775001163	0.91625
327	0.2770173917	0.915
328	0.2767364253	0.915
329	0.2765583156	0.91375
330	0.2761148571	0.915
331	0.2759159474	0.915
332	0.2752833412	0.91375
333	0.2751947795	0.91375
334	0.2747708169	0.91375
335	0.2745898831	0.915
336	0.2742018022	0.91875
337	0.2738303411	0.91875
338	0.2735570817	0.91875
339	0.2735231502	0.91875
340	0.2728426069	0.92125
341	0.272603878	0.92125
342	0.2724818124	0.92125
343	0.2724017752	0.92125
344	0.2720390947	0.92125
345	0.2718340293	0.92125
346	0.2713611216	0.92125
347	0.2711343684	0.9225
348	0.2706328466	0.92125
349	0.2705937595	0.9225
350	0.2705086205	0.92125
351	0.2704313959	0.92125
352	0.270364764	0.92125
353	0.2696278821	0.92125
354	0.2691878894	0.92125
355	0.2688040297	0.92125
356	0.2686787531	0.92125
357	0.2682874981	0.92125
358	0.2681463293	0.92125
359	0.2681323814	0.92125
360	0.2680635177	0.92125
361	0.2675280843	0.92125
362	0.2671824952	0.92125
363	0.2665487124	0.92125
364	0.2660175685	0.92125
365	0.2656364854	0.92125
366	0.265040676	0.9225
367	0.2645801612	0.9225
368	0.2643569315	0.9225
369	0.264205954	0.9225
370	0.2641816336	0.92375
371	0.2641372943	0.92375
372	0.2640088441	0.92375
373	0.2639139317	0.92375
374	0.2636272912	0.9225
375	0.2635026798	0.9225
376	0.263194871	0.92375
377	0.2631480533	0.92375
378	0.2629048762	0.9225
379	0.2624995908	0.9225
380	0.2620802486	0.9225
381	0.2618301096	0.9225
382	0.261417851	0.9225
383	0.2611871358	0.9225
384	0.261059588	0.9225
385	0.2608887915	0.9225
386	0.2604304822	0.92375
387	0.2598777659	0.92375
388	0.2598591375	0.92375
389	0.2595806048	0.9225
390	0.2592743878	0.9225
391	0.2592246696	0.9225
392	0.2588749255	0.92375
393	0.2585341382	0.9225
394	0.2578929189	0.9225
395	0.2578003478	0.9225
396	0.257597164	0.9225
397	0.2573091331	0.9225
398	0.2567849172	0.92375
399	0.256464284	0.92375
400	0.256197967	0.9225
401	0.255841103	0.92375
402	0.2555402507	0.92375
403	0.2555041222	0.92375
404	0.254818021	0.92375
405	0.2547428354	0.92375
406	0.2544813099	0.92375
407	0.25402449	0.925
408	0.2539377868	0.92375
409	0.2537806369	0.925
410	0.2537366168	0.925
411	0.2535452446	0.925
412	0.2531563611	0.925
413	0.2530525889	0.925
414	0.2530468002	0.925
415	0.2530244673	0.925
416	0.2529373346	0.925
417	0.2526902906	0.92625
418	0.2526276698	0.92625
419	0.2524599268	0.925
420	0.252130789	0.925
421	0.2516908557	0.925
422	0.2516074796	0.925
423	0.2512803235	0.925
424	0.2511916597	0.925
425	0.2511701052	0.925
426	0.2508173491	0.925
427	0.250563129	0.925
428	0.2500768663	0.92625
429	0.2499148249	0.92875
430	0.2497564556	0.9275
431	0.2497192889	0.92875
432	0.2492205837	0.9275
433	0.2490094788	0.9275
434	0.2488966634	0.92875
435	0.2483753828	0.93
436	0.2481790094	0.93
437	0.2479095662	0.93125
438	0.2473217722	0.93125
439	0.2469069795	0.93125
440	0.2461337515	0.93125
441	0.246057223	0.93125
442	0.245561185	0.93125
443	0.2453707716	0.93
444	0.2452726879	0.93125
445	0.2447064635	0.93125
446	0.2443936866	0.9325
447	0.2443772903	0.9325
448	0.244189005	0.93125
449	0.2439865757	0.93125
450	0.2438513023	0.9325
451	0.2430868601	0.93125
452	0.2428115054	0.9325
453	0.2425992383	0.93375
454	0.2423655405	0.93375
455	0.241857692	0.9325
456	0.2418452723	0.9325
457	0.2416575543	0.9325
458	0.241645132	0.9325
459	0.2414422366	0.93375
460	0.2413495935	0.93375
461	0.241140171	0.93375
462	0.241076185	0.93375
463	0.2407884135	0.93375
464	0.2405768188	0.93375
465	0.2397869702	0.93625
466	0.239325778	0.935
467	0.2391947507	0.935
468	0.238939738	0.935
469	0.2387787813	0.935
470	0.2387232084	0.935
471	0.2386703251	0.935
472	0.2386002046	0.935
473	0.2381143901	0.93625
474	0.2377394852	0.93625
475	0.2375700185	0.9375
476	0.2375096392	0.9375
477	0.2372246116	0.9375
478	0.2371448325	0.9375
479	0.2365971927	0.9375
480	0.2365225315	0.9375
481	0.236229931	0.9375
482	0.236206581	0.9375
483	0.2361310899	0.93875
484	0.2359773164	0.93875
485	0.2357262696	0.93875
486	0.2354332444	0.93875
487	0.2351829594	0.93875
488	0.2346994113	0.93875
489	0.2341601541	0.93875
490	0.233611973	0.9375
491	0.2332464022	0.9375
492	0.2331027359	0.9375
493	0.2329357234	0.9375
494	0.2327048035	0.9375
495	0.2323990724	0.93875
496	0.2323674646	0.93875
497	0.2318868657	0.93875
498	0.2318667155	0.93875
499	0.2317985195	0.93875
500	0.2317365469	0.93875
501	0.2312019124	0.93875
502	0.2309103846	0.93875
503	0.2306622584	0.94
504	0.230611891	0.94
505	0.2302712661	0.94
506	0.230113982	0.94
507	0.2298537734	0.94
508	0.2295139958	0.94
509	0.2294454333	0.94
510	0.2292870902	0.94
511	0.2292067314	0.94
512	0.2290444837	0.94125
513	0.2287040993	0.94125
514	0.2286813661	0.94125
515	0.2286525089	0.94125
516	0.2281743507	0.94125
517	0.2280852437	0.94125
518	0.2275826165	0.94125
519	0.2273321841	0.94125
