iter	Passed	Remaining
0	71	71390
1	108	53932
2	174	57966
3	255	63593
4	336	66901
5	422	69989
6	465	66069
7	519	64460
8	591	65086
9	658	65151
10	709	63807
11	777	64033
12	817	62083
13	856	60342
14	936	61490
15	1002	61681
16	1080	62493
17	1154	62986
18	1221	63070
19	1295	63469
20	1372	64000
21	1442	64112
22	1512	64237
23	1595	64868
24	1662	64831
25	1738	65119
26	1816	65466
27	1882	65354
28	1971	66008
29	2044	66100
30	2071	64759
31	2136	64641
32	2215	64932
33	2293	65162
34	2370	65369
35	2440	65361
36	2518	65539
37	2589	65562
38	2659	65528
39	2734	65631
40	2761	64601
41	2830	64563
42	2904	64632
43	2989	64962
44	3056	64857
45	3128	64879
46	3198	64856
47	3226	63985
48	3292	63898
49	3368	64001
50	3446	64128
51	3516	64108
52	3599	64311
53	3702	64870
54	3730	64101
55	3756	63332
56	3833	63427
57	3909	63498
58	3987	63603
59	4058	63585
60	4142	63767
61	4206	63640
62	4286	63758
63	4364	63830
64	4433	63768
65	4499	63670
66	4584	63835
67	4657	63836
68	4737	63920
69	4814	63958
70	4883	63897
71	4970	64065
72	5057	64221
73	5136	64274
74	5198	64116
75	5275	64139
76	5352	64160
77	5435	64255
78	5515	64297
79	5588	64262
80	5658	64200
81	5747	64340
82	5806	64152
83	5861	63914
84	5913	63654
85	5984	63598
86	6056	63560
87	6125	63484
88	6199	63457
89	6269	63386
90	6355	63485
91	6430	63467
92	6506	63456
93	6578	63409
94	6658	63427
95	6729	63370
96	6801	63316
97	6873	63262
98	6944	63203
99	7028	63258
100	7109	63284
101	7182	63232
102	7258	63208
103	7301	62909
104	7388	62976
105	7461	62933
106	7551	63025
107	7631	63029
108	7752	63370
109	7829	63348
110	7913	63382
111	7988	63337
112	8091	63518
113	8148	63330
114	8223	63284
115	8292	63197
116	8370	63170
117	8443	63107
118	8522	63093
119	8613	63166
120	8650	62839
121	8711	62692
122	8795	62714
123	8872	62680
124	8951	62661
125	9037	62688
126	9136	62805
127	9204	62702
128	9284	62688
129	9367	62689
130	9402	62372
131	9475	62306
132	9557	62304
133	9633	62257
134	9716	62258
135	9768	62056
136	9849	62043
137	9928	62016
138	9968	61749
139	10042	61687
140	10147	61823
141	10220	61752
142	10255	61461
143	10326	61385
144	10406	61365
145	10473	61265
146	10550	61220
147	10624	61162
148	10699	61108
149	10777	61071
150	10850	61005
151	10923	60943
152	10991	60849
153	11065	60786
154	11107	60556
155	11196	60577
156	11271	60521
157	11353	60501
158	11420	60405
159	11489	60322
160	11564	60263
161	11625	60136
162	11691	60035
163	11765	59977
164	11834	59890
165	11862	59599
166	11931	59514
167	11949	59179
168	12026	59136
169	12100	59078
170	12167	58989
171	12269	59064
172	12347	59025
173	12421	58966
174	12501	58934
175	12582	58909
176	12622	58692
177	12690	58605
178	12761	58529
179	12832	58458
180	12902	58380
181	12966	58276
182	13045	58243
183	13120	58187
184	13186	58092
185	13292	58173
186	13366	58112
187	13439	58045
188	13511	57976
189	13587	57923
190	13662	57868
191	13730	57780
192	13805	57724
193	13878	57659
194	13946	57574
195	14015	57490
196	14088	57427
197	14153	57330
198	14229	57274
199	14333	57334
200	14401	57246
201	14472	57174
202	14545	57105
203	14617	57038
204	14690	56971
205	14760	56891
206	14832	56820
207	14898	56727
208	14975	56677
209	15063	56668
210	15094	56443
211	15133	56251
212	15211	56202
213	15297	56187
214	15407	56254
215	15488	56218
216	15570	56184
217	15637	56095
218	15720	56062
219	15793	55995
220	15871	55946
221	15936	55850
222	16007	55776
223	16083	55718
224	16152	55637
225	16228	55577
226	16307	55530
227	16436	55653
228	16519	55617
229	16587	55533
230	16666	55481
231	16747	55441
232	16801	55308
233	16867	55215
234	16942	55152
235	17037	55155
236	17107	55075
237	17182	55011
238	17253	54937
239	17330	54878
240	17410	54831
241	17525	54894
242	17594	54811
243	17670	54750
244	17748	54694
245	17825	54635
246	17893	54550
247	17967	54482
248	18042	54415
249	18112	54337
250	18186	54270
251	18268	54225
252	18342	54156
253	18418	54095
254	18499	54048
255	18617	54105
256	18698	54057
257	18772	53989
258	18855	53944
259	18937	53899
260	19017	53847
261	19219	54136
262	19431	54452
263	19525	54434
264	19773	54844
265	19880	54858
266	19932	54721
267	19978	54567
268	20031	54433
269	20084	54301
270	20131	54155
271	20177	54005
272	20234	53884
273	20283	53743
274	20343	53633
275	20399	53512
276	20454	53389
277	20511	53270
278	20563	53140
279	20612	53003
280	20688	52935
281	20803	52967
282	20880	52901
283	20952	52824
284	21032	52766
285	21112	52707
286	21189	52640
287	21255	52547
288	21331	52478
289	21407	52412
290	21491	52362
291	21565	52289
292	21652	52247
293	21732	52187
294	21844	52204
295	21918	52130
296	21998	52069
297	22073	51997
298	22164	51963
299	22255	51930
300	22327	51849
301	22398	51769
302	22474	51698
303	22542	51610
304	22629	51566
305	22710	51507
306	22782	51428
307	22904	51461
308	22987	51406
309	23067	51343
310	23144	51275
311	23226	51218
312	23299	51140
313	23385	51091
314	23481	51062
315	23557	50991
316	23633	50920
317	23707	50843
318	23791	50790
319	23869	50723
320	24005	50778
321	24076	50694
322	24146	50611
323	24225	50544
324	24297	50463
325	24374	50392
326	24465	50352
327	24544	50286
328	24623	50219
329	24697	50144
330	24775	50075
331	24850	49999
332	24922	49919
333	24993	49836
334	25120	49865
335	25195	49791
336	25265	49705
337	25344	49638
338	25416	49557
339	25493	49488
340	25567	49411
341	25646	49344
342	25722	49269
343	25798	49197
344	25876	49128
345	25949	49048
346	26038	49000
347	26167	49026
348	26241	48949
349	26320	48881
350	26401	48815
