iter	Logloss	Accuracy
0	0.6753896728	0.81125
1	0.6595392758	0.81125
2	0.644913676	0.81125
3	0.6310430743	0.80875
4	0.6181430876	0.80625
5	0.6063100108	0.81875
6	0.5952102279	0.81875
7	0.5857998988	0.82125
8	0.5753505529	0.8175
9	0.5670520291	0.8175
10	0.558282794	0.81875
11	0.5497600215	0.82
12	0.5447479688	0.81375
13	0.5378224947	0.81125
14	0.5315492207	0.81375
15	0.5240452502	0.8175
16	0.5174644774	0.815
17	0.5116249987	0.815
18	0.5053476608	0.815
19	0.4994572197	0.81375
20	0.4936488626	0.81625
21	0.4892305346	0.815
22	0.4845410013	0.815
23	0.4806033303	0.81375
24	0.4769562152	0.815
25	0.4734325368	0.8175
26	0.4711054531	0.8175
27	0.4676966381	0.81625
28	0.464298098	0.81625
29	0.4606761939	0.815
30	0.4594057114	0.81375
31	0.4565907926	0.81375
32	0.4521531656	0.81875
33	0.4498449216	0.82
34	0.4473978935	0.82125
35	0.4445748604	0.82125
36	0.4417352164	0.8225
37	0.439369777	0.82125
38	0.4373674294	0.82125
39	0.4349873224	0.82125
40	0.4346427426	0.82125
41	0.4330718621	0.8225
42	0.4308833734	0.8225
43	0.4295705177	0.8225
44	0.4281189197	0.82375
45	0.4251491648	0.8225
46	0.4237514273	0.8225
47	0.4231171878	0.8225
48	0.4196915494	0.825
49	0.4176588579	0.82625
50	0.416534502	0.825
51	0.4135936744	0.82625
52	0.4111959164	0.82875
53	0.4098248477	0.83
54	0.4094648626	0.83
55	0.4089792006	0.83
56	0.4078217741	0.83125
57	0.4060039197	0.835
58	0.4031241265	0.83625
59	0.4017704748	0.84
60	0.4003978367	0.83625
61	0.3989206286	0.83625
62	0.3972117129	0.83625
63	0.3962205036	0.83875
64	0.3955523142	0.83875
65	0.3943830062	0.84
66	0.3938605421	0.84
67	0.3917112356	0.84125
68	0.3899565325	0.83875
69	0.3888503762	0.83875
70	0.3874511942	0.84125
71	0.3868265282	0.8425
72	0.3856035398	0.8425
73	0.3848916129	0.8425
74	0.3843747303	0.8425
75	0.3828771	0.8425
76	0.3822661558	0.845
77	0.3805639227	0.84625
78	0.3797130837	0.84625
79	0.3777778959	0.8475
80	0.3763590496	0.8475
81	0.3754596093	0.8475
82	0.3740002436	0.85
83	0.373389507	0.85
84	0.3733541419	0.85
85	0.3723018489	0.85
86	0.3711518312	0.8525
87	0.3700910754	0.8525
88	0.369169172	0.8525
89	0.3685021568	0.85625
90	0.3678652523	0.85625
91	0.3670427591	0.85625
92	0.3664489442	0.85625
93	0.3651938367	0.85625
94	0.3645531648	0.855
95	0.3640748624	0.8575
96	0.3633026338	0.86
97	0.3630000993	0.85875
98	0.3627315966	0.85875
99	0.3622533131	0.86
100	0.361884812	0.85875
101	0.3613750963	0.85875
102	0.3606369225	0.85875
103	0.3605263234	0.8575
104	0.3597747013	0.85875
105	0.3590619472	0.85875
106	0.3582794315	0.86
107	0.3576841012	0.8575
108	0.3566818369	0.8575
109	0.355853136	0.86125
110	0.3551304357	0.86125
111	0.3538273354	0.86125
112	0.3534662008	0.8625
113	0.3531967655	0.86125
114	0.3527559109	0.8625
115	0.3520274033	0.86375
116	0.3507659704	0.865
117	0.3502172818	0.865
118	0.3495764633	0.86375
119	0.3490969137	0.86375
120	0.349093086	0.86375
121	0.3474768841	0.865
122	0.3466065026	0.865
123	0.3459980296	0.865
124	0.3456133299	0.86625
125	0.3450179171	0.86625
126	0.3442268923	0.8675
127	0.3433622811	0.86875
128	0.3430451122	0.86875
129	0.342400012	0.8725
130	0.3423844191	0.8725
131	0.3417998485	0.87125
132	0.3415260993	0.8725
133	0.3406151556	0.87375
134	0.3401264725	0.8725
135	0.3398560678	0.87375
136	0.339321547	0.87375
137	0.3386787523	0.87375
138	0.3386450849	0.87375
139	0.3383977448	0.87375
140	0.3381263667	0.87375
141	0.3367938616	0.87375
142	0.3367901564	0.87375
143	0.3362270517	0.875
144	0.3357631307	0.87375
145	0.3351621064	0.875
146	0.3348101618	0.875
147	0.3342017934	0.87625
148	0.3338291683	0.87625
149	0.3329377465	0.87625
150	0.3321572696	0.8775
151	0.3319535672	0.8775
152	0.3311206919	0.8775
153	0.3305901575	0.8775
154	0.3305673843	0.8775
155	0.3301311364	0.88
156	0.3289652248	0.88
157	0.3282422284	0.88
158	0.3273840103	0.8825
159	0.3269511638	0.8825
160	0.3261126685	0.8825
161	0.3260467094	0.8825
162	0.3256060899	0.88125
163	0.325257804	0.885
164	0.3243876004	0.88625
165	0.3243831942	0.88625
166	0.3234852923	0.88625
167	0.3234851632	0.88625
168	0.3219748776	0.88625
169	0.3213111068	0.88625
170	0.3207110156	0.88375
171	0.3202451296	0.88375
172	0.3196740025	0.88375
173	0.3191380062	0.88375
174	0.318395516	0.88375
175	0.3178566588	0.88375
176	0.317637407	0.88375
177	0.3171869915	0.88375
178	0.3164441523	0.88375
179	0.3159697194	0.88375
180	0.3154983966	0.88375
181	0.3141937292	0.88375
182	0.313127092	0.885
183	0.3123920913	0.885
184	0.3117961986	0.885
185	0.311250291	0.88625
186	0.3108137337	0.88625
187	0.3096543054	0.88625
188	0.3093348642	0.88625
189	0.3086184301	0.88375
190	0.308467641	0.8825
191	0.3075331114	0.885
192	0.3064094077	0.88625
193	0.3059713085	0.88625
194	0.3051144434	0.8875
195	0.3047835939	0.8875
196	0.3041759747	0.8875
197	0.3039400056	0.8875
198	0.3037226315	0.88875
199	0.3031591427	0.8875
200	0.302577468	0.8875
201	0.301980162	0.88875
202	0.3018547504	0.88875
203	0.3010922336	0.89
204	0.3007860454	0.88875
205	0.2997674118	0.88875
206	0.2991302725	0.88875
207	0.2981066271	0.88875
208	0.2978439392	0.88875
209	0.297181598	0.89
210	0.2971717112	0.89
211	0.29713791	0.88875
212	0.2962587195	0.89
213	0.2958007922	0.89
214	0.2953445203	0.89
215	0.29500122	0.89
216	0.2944571996	0.89
217	0.2941612937	0.89125
218	0.2939470395	0.89125
219	0.2938255081	0.89125
220	0.2931927789	0.89125
221	0.2925667325	0.89125
222	0.2917796166	0.89125
223	0.2906590669	0.89375
224	0.2901772053	0.8925
225	0.2897286341	0.89375
226	0.2892261433	0.89375
227	0.2880609111	0.895
228	0.2877294645	0.895
229	0.2874026497	0.89625
230	0.2869991374	0.895
231	0.2869073137	0.895
232	0.2868955348	0.895
233	0.2865952789	0.89375
234	0.2864757318	0.89375
235	0.2857080667	0.895
236	0.2853311867	0.895
237	0.2846527685	0.895
238	0.2838176933	0.89375
239	0.283305829	0.895
240	0.2823264069	0.89875
241	0.2821667175	0.8975
242	0.2816908391	0.8975
243	0.2815112644	0.8975
244	0.2812162989	0.89875
245	0.2810639449	0.89875
246	0.280806469	0.89875
247	0.2804626494	0.9
248	0.2801918466	0.90125
249	0.2800963403	0.9
250	0.2795140488	0.8975
251	0.2793290132	0.9
252	0.2787048137	0.9
253	0.2782831271	0.9
254	0.2781923759	0.90125
255	0.2777343644	0.90125
256	0.2773098602	0.90125
257	0.2767264738	0.90375
258	0.2766167049	0.90375
259	0.2760411885	0.90375
260	0.2755535086	0.90375
261	0.2748629994	0.905
262	0.2742917864	0.905
263	0.27413295	0.905
264	0.2732860779	0.905
265	0.272431069	0.905
266	0.2723183838	0.905
267	0.272231225	0.905
268	0.2717766196	0.905
269	0.2708585496	0.905
270	0.2706674954	0.90625
271	0.2705576548	0.90625
272	0.2704912526	0.905
273	0.2703951822	0.905
274	0.269346712	0.9075
275	0.2691141903	0.9075
276	0.2687029419	0.9075
277	0.2682856216	0.9075
278	0.2679466595	0.9075
279	0.2674033976	0.90625
280	0.2670218311	0.90625
281	0.2670197368	0.90625
282	0.2668023164	0.9075
283	0.2667073713	0.9075
284	0.2662835159	0.90875
285	0.2656507846	0.91
286	0.2654485879	0.90875
287	0.2648049716	0.91
288	0.26471439	0.91125
289	0.2641408376	0.91125
290	0.2636805852	0.91125
291	0.2628476112	0.91125
292	0.2624229563	0.91125
293	0.2617777388	0.91125
294	0.261545575	0.9125
295	0.2608922392	0.9125
296	0.2603214924	0.9125
297	0.2597461087	0.9125
298	0.2596691476	0.9125
299	0.2595554416	0.9125
300	0.2590302867	0.9125
301	0.2590049857	0.9125
302	0.258932633	0.9125
303	0.2584530586	0.91375
304	0.2582389626	0.91375
305	0.2574902375	0.91375
306	0.2569778889	0.91375
307	0.2568069474	0.915
308	0.2565433066	0.91375
309	0.2563326245	0.91375
310	0.2562167379	0.91375
311	0.2555927823	0.91375
312	0.25522083	0.91375
313	0.2549956799	0.91625
314	0.2547342206	0.91625
315	0.254552266	0.91625
316	0.2544169643	0.91625
317	0.2541463213	0.91625
318	0.2535354812	0.91375
319	0.2534082416	0.91375
320	0.2530937297	0.915
321	0.2529225723	0.915
322	0.2527675656	0.91625
323	0.2524615901	0.91625
324	0.2522617639	0.91625
325	0.2518649112	0.91875
326	0.2513839748	0.9175
327	0.2511518229	0.91875
