iter	Logloss	Accuracy
0	0.6760183068	0.81125
1	0.6601828671	0.8125
2	0.6447389381	0.8125
3	0.6301261781	0.815
4	0.6166203639	0.815
5	0.6041334935	0.815
6	0.5915178564	0.81375
7	0.5808097049	0.81375
8	0.5700525635	0.81375
9	0.5614196295	0.81375
10	0.5522365394	0.815
11	0.5434768508	0.815
12	0.5360096203	0.815
13	0.5295350186	0.815
14	0.5237315573	0.815
15	0.5175512737	0.81375
16	0.5142154612	0.8125
17	0.5083298855	0.81375
18	0.502878026	0.8125
19	0.4980716054	0.8175
20	0.4931984312	0.81625
21	0.4882787844	0.8125
22	0.484470111	0.8175
23	0.4805715704	0.81625
24	0.4771239409	0.8175
25	0.4739543938	0.81
26	0.4708612951	0.81375
27	0.467734333	0.8125
28	0.4644864806	0.8125
29	0.4622040376	0.81125
30	0.4592641899	0.81125
31	0.4581423732	0.81125
32	0.4548394128	0.8125
33	0.4516409165	0.8125
34	0.4495223402	0.815
35	0.4490428776	0.8175
36	0.4468186428	0.81875
37	0.4451842373	0.81875
38	0.4439061512	0.81875
39	0.4418900345	0.81875
40	0.4394749883	0.81875
41	0.4386074612	0.81625
42	0.4381700785	0.81875
43	0.4360543878	0.81625
44	0.4346141873	0.8175
45	0.4335736104	0.8175
46	0.4334594181	0.8175
47	0.4321926613	0.82
48	0.431116901	0.82
49	0.4306763264	0.8175
50	0.4292304647	0.8175
51	0.4276488365	0.81875
52	0.4269724436	0.8175
53	0.4260426328	0.81625
54	0.4233861247	0.82
55	0.4216463221	0.82125
56	0.4198049572	0.82125
57	0.4175779493	0.8225
58	0.4165410733	0.8225
59	0.4160287663	0.82125
60	0.4153905821	0.8225
61	0.4150788987	0.8225
62	0.4138316	0.82375
63	0.4126858916	0.82375
64	0.4104947056	0.8225
65	0.4087909397	0.82375
66	0.4083473263	0.82375
67	0.4073441939	0.825
68	0.4055923891	0.82625
69	0.4053208359	0.8275
70	0.4037225223	0.82625
71	0.4030661391	0.82625
72	0.4023330114	0.8275
