iter	Passed	Remaining
0	30	30732
1	103	51564
2	307	102119
3	614	153029
4	788	156921
5	1087	180154
6	1415	200776
7	1724	213867
8	1804	198744
9	1889	187094
10	1980	178024
11	2058	169506
12	2137	162257
13	2232	157258
14	2329	152979
15	2401	147700
16	2444	141369
17	2507	136801
18	2577	133075
19	2623	128569
20	2880	134289
21	3056	135869
22	3336	141726
23	3620	147224
24	3904	152261
25	4295	160923
26	4375	157667
27	4457	154721
28	4535	151864
29	4613	149165
30	4703	147029
31	4723	142892
32	4796	140545
33	4825	137098
34	4903	135198
35	4949	132527
36	5040	131198
37	5098	129064
38	5134	126525
39	5160	123854
40	5229	122329
41	5373	122555
42	5619	125057
43	5854	127193
44	6149	130515
45	6465	134078
46	6837	138644
47	6883	136516
48	6965	135188
49	7044	133838
50	7115	132397
51	7179	130892
52	7237	129327
53	7314	128140
54	7394	127047
55	7441	125442
56	7467	123547
57	7541	122481
58	7614	121445
59	7737	121227
60	7838	120657
61	7979	120727
62	8366	124431
63	8476	123965
64	8746	125809
65	9024	127715
66	9431	131339
67	9540	130756
68	9655	130281
69	9749	129525
70	9791	128116
71	9870	127220
72	9933	126138
73	9994	125066
74	10058	124057
75	10123	123076
76	10181	122048
77	10246	121118
78	10316	120269
79	10390	119489
80	10493	119056
81	10930	122370
82	11210	123857
83	11494	125345
84	11854	127607
85	12145	129078
86	12206	128100
87	12267	127131
88	12323	126137
89	12373	125114
90	12428	124149
91	12491	123285
92	12604	122923
93	12695	122363
94	12776	121708
95	12872	121218
96	12998	121006
97	13134	120886
98	13252	120608
99	13724	123524
100	14044	125012
101	14324	126109
102	14673	127790
103	14767	127227
104	14845	126537
105	14917	125810
106	14986	125070
107	15060	124388
108	15128	123662
109	15202	123002
110	15271	122307
111	15340	121625
112	15409	120954
113	15519	120614
114	15624	120237
115	15758	120088
116	15912	120092
117	16207	121146
118	16677	123473
119	16975	124489
120	17340	125968
121	17463	125681
122	17563	125227
123	17652	124706
124	17742	124200
125	17772	123276
126	17843	122656
127	17902	121959
128	17971	121345
129	18047	120780
130	18095	120036
131	18140	119289
132	18203	118662
133	18264	118035
134	18319	117378
135	18378	116756
136	18533	116748
137	18860	117810
138	19159	118681
139	19664	120796
140	20048	122140
141	20091	121396
142	20167	120863
143	20242	120328
144	20308	119748
145	20378	119202
146	20458	118714
147	20518	118121
148	20614	117738
149	20699	117297
150	20746	116649
151	20827	116195
152	20892	115661
153	20956	115126
154	21019	114592
155	21131	114325
156	21181	113731
157	21452	114320
158	21723	114904
159	22027	115645
160	22309	116259
161	22406	115906
162	22497	115522
163	22585	115129
164	22670	114724
165	22753	114314
166	22794	113700
167	22874	113284
168	22952	112861
169	23046	112520
170	23138	112173
171	23215	111758
172	23281	111295
173	23337	110785
174	23613	111321
175	23884	111824
176	24040	111783
177	24264	112054
178	24536	112539
179	25058	114154
180	25148	113793
181	25217	113339
182	25292	112918
183	25367	112500
184	25451	112126
185	25521	111691
186	25544	111055
187	25623	110670
188	25703	110292
189	25794	109964
190	25906	109731
191	25952	109215
192	26030	108843
193	26449	109888
194	26692	110191
195	26894	110322
196	27174	110765
197	27489	111344
198	27825	111999
199	27939	111756
200	28025	111404
201	28102	111019
202	28169	110596
203	28244	110208
204	28301	109752
205	28383	109401
206	28459	109026
207	28555	108731
208	28662	108478
209	28745	108139
210	28846	107865
211	29084	108107
212	29395	108612
213	29709	109120
214	29992	109507
215	30495	110688
216	30580	110344
217	30656	109971
218	30722	109561
219	30796	109186
220	30872	108823
221	30941	108434
222	31012	108056
223	31084	107686
224	31153	107307
225	31222	106930
226	31297	106577
227	31366	106205
228	31450	105889
229	31632	105900
230	32047	106686
231	32344	107071
232	32628	107408
233	32969	107924
234	33292	108376
235	33356	107984
236	33418	107587
237	33474	107173
238	33550	106829
239	33620	106464
240	33705	106150
241	33799	105869
242	33901	105611
243	34003	105355
244	34078	105017
245	34141	104644
246	34195	104248
247	34253	103866
248	34401	103756
249	34835	104507
250	35115	104787
251	35478	105309
252	35763	105594
253	36027	105812
254	36120	105528
255	36204	105218
256	36276	104876
257	36351	104544
258	36428	104222
259	36457	103764
260	36524	103415
261	36599	103093
262	36671	102763
263	36744	102440
264	36850	102207
265	36951	101964
266	37046	101703
267	37182	101558
268	37672	102374
269	37986	102704
270	38360	103191
271	38657	103465
272	38996	103848
273	39077	103541
274	39168	103262
275	39236	102924
276	39307	102596
277	39382	102280
278	39463	101982
279	39556	101715
280	39642	101433
281	39725	101145
282	39791	100813
283	39848	100464
284	39915	100138
285	40020	99910
286	40208	99890
287	40506	100141
288	40773	100311
289	41027	100446
290	41450	100991
291	41569	100791
292	41676	100562
293	41777	100323
294	41862	100043
295	41936	99739
296	42000	99415
297	42061	99085
298	42120	98750
299	42178	98415
300	42253	98123
301	42319	97812
302	42384	97498
303	42448	97185
304	42542	96941
305	42798	97066
306	43098	97287
307	43468	97663
308	43740	97813
309	44148	98265
310	44224	97975
311	44305	97698
312	44384	97418
313	44460	97132
314	44536	96848
315	44616	96575
316	44684	96275
317	44754	95983
318	44828	95699
319	44900	95413
320	44982	95148
321	45090	94941
322	45255	94854
323	45452	94833
324	45736	94991
325	46015	95136
326	46568	95843
327	46961	96213
328	47071	96003
329	47175	95780
330	47270	95540
331	47345	95260
332	47406	94954
333	47478	94673
334	47539	94368
335	47596	94058
336	47656	93757
337	47729	93482
338	47794	93191
339	47857	92899
340	47917	92602
341	48010	92371
342	48277	92472
343	48558	92598
344	48842	92730
345	49141	92886
346	49257	92694
347	49353	92467
348	49440	92222
349	49525	91976
350	49601	91714
351	49665	91430
352	49727	91143
353	49793	90866
354	49860	90591
355	49951	90361
356	50041	90130
357	50116	89873
358	50506	90180
359	50763	90246
360	51048	90359
361	51362	90522
362	51658	90651
363	51903	90687
364	51952	90382
365	52009	90092
366	52083	89832
367	52167	89592
368	52245	89341
369	52320	89085
370	52411	88859
371	52483	88600
372	52570	88369
373	52674	88166
374	52780	87968
375	52867	87738
376	53197	87909
377	53468	87982
378	53797	88148
379	54065	88211
380	54509	88560
381	54601	88334
382	54669	88070
383	54720	87781
384	54777	87502
385	54828	87214
386	54911	86979
387	54988	86734
388	55072	86501
389	55138	86242
390	55228	86021
391	55308	85784
392	55383	85542
393	55455	85294
394	55533	85058
395	55969	85367
396	56266	85462
397	56565	85558
398	56844	85622
399	57173	85759
400	57279	85561
401	57368	85339
402	57443	85096
403	57512	84845
404	57580	84593
405	57642	84333
406	57718	84096
407	57804	83873
408	57892	83653
409	57972	83423
410	58032	83166
411	58084	82897
412	58134	82627
413	58192	82368
414	58278	82151
415	58660	82350
416	58990	82474
417	59269	82524
418	59611	82659
419	60028	82896
420	60109	82668
421	60175	82420
422	60253	82189
423	60322	81948
424	60389	81704
425	60458	81463
426	60541	81241
427	60626	81024
428	60696	80787
429	60767	80552
430	60826	80301
431	60881	80047
432	60931	79787
433	60977	79523
434	61033	79273
435	61129	79075
436	61553	79301
437	61863	79377
438	62171	79449
439	62497	79541
440	62880	79705
441	62974	79502
442	63055	79281
443	63125	79048
444	63196	78818
445	63269	78590
446	63349	78372
447	63426	78150
448	63488	77910
449	63562	77687
450	63647	77477
451	63740	77278
452	63824	77068
453	63886	76833
454	63965	76618
455	64314	76726
456	64599	76756
457	64913	76819
458	65243	76899
459	65618	77029
460	65716	76835
461	65790	76612
462	65862	76389
463	65932	76163
464	66002	75938
465	66075	75717
466	66160	75511
467	66247	75307
468	66322	75090
469	66389	74864
470	66441	74623
471	66494	74383
472	66551	74149
473	66603	73910
474	66659	73675
475	66757	73489
476	67194	73674
477	67551	73769
478	67915	73870
479	68228	73914
480	68570	73988
481	68647	73774
482	68712	73549
483	68789	73337
484	68856	73115
485	68942	72914
486	69021	72706
487	69128	72527
488	69238	72353
489	69343	72173
490	69421	71966
491	69488	71747
492	69607	71584
493	69854	71551
494	70184	71602
495	70463	71599
496	70756	71610
497	71265	71837
498	71345	71630
499	71421	71421
500	71504	71218
501	71585	71015
502	71659	70804
503	71732	70593
504	71808	70386
505	71875	70170
506	71947	69961
507	72021	69753
508	72084	69535
509	72152	69323
510	72228	69118
511	72339	68948
512	72479	68806
513	72793	68827
514	73280	69011
515	73562	69000
516	73904	69044
517	74014	68870
518	74113	68687
519	74215	68506
520	74324	68332
521	74426	68153
522	74530	67975
523	74621	67785
524	74694	67580
525	74765	67374
526	74833	67165
527	74924	66977
528	75099	66865
529	75449	66907
530	75714	66873
531	76197	67030
532	76460	66992
533	76831	67047
534	76942	66875
535	77028	66681
536	77117	66490
537	77206	66300
538	77284	66100
539	77361	65900
540	77423	65688
541	77479	65471
542	77534	65254
543	77598	65046
544	77676	64849
545	77738	64640
546	77799	64429
547	77903	64256
548	78226	64262
549	78490	64219
550	78785	64200
551	79080	64181
552	79832	64529
553	79932	64350
554	80010	64152
555	80087	63954
556	80161	63755
557	80239	63558
558	80308	63356
559	80384	63159
560	80455	62959
561	80525	62758
562	80592	62556
563	80694	62380
564	80801	62209
565	80925	62052
566	81132	61958
567	81401	61910
568	81666	61859
569	81919	61798
570	82407	61913
571	82865	62004
572	82936	61804
573	83008	61605
574	83082	61408
575	83152	61209
576	83215	61005
577	83295	60814
578	83378	60625
579	83441	60423
580	83516	60229
581	83573	60023
582	83630	59818
583	83696	59619
584	83787	59439
585	83924	59291
586	84141	59200
587	84422	59153
588	84690	59096
589	85001	59069
590	85399	59100
591	85513	58934
592	85599	58750
593	85684	58565
594	85770	58381
595	85842	58188
596	85914	57996
597	85971	57793
598	86028	57591
599	86115	57410
600	86191	57222
601	86263	57031
602	86334	56840
603	86407	56651
604	86793	56666
605	87014	56574
606	87311	56529
