iter	Passed	Remaining
0	276	275935
1	462	230733
2	689	228993
3	803	200142
4	836	166403
5	908	150460
6	982	139366
7	1053	130587
8	1110	122316
9	1182	117065
10	1267	113981
11	1346	110850
12	1414	107384
13	1527	107556
14	1621	106454
15	1871	115110
16	2044	118243
17	2312	126175
18	2627	135671
19	2710	132801
20	2791	130123
21	2871	127631
22	2950	125345
23	2990	121604
24	3060	119359
25	3136	117486
26	3203	115429
27	3290	114216
28	3371	112900
29	3441	111266
30	3503	109510
31	3569	107985
32	3634	106504
33	3701	105164
34	4018	110808
35	4511	120818
36	4839	125950
37	4934	124921
38	5012	123521
39	5095	122298
40	5174	121040
41	5240	119542
42	5343	118926
43	5435	118094
44	5524	117232
45	5590	115938
46	5655	114682
47	5724	113526
48	5802	112611
49	5914	112383
50	6114	113772
51	6285	114591
52	6570	117401
53	6854	120080
54	6935	119167
55	7012	118212
56	7084	117200
57	7157	116246
58	7238	115443
59	7340	114998
60	7442	114568
61	7516	113719
62	7579	112725
63	7645	111820
64	7715	110981
65	7806	110470
66	7917	110257
67	8262	113249
68	8532	115122
69	8923	118557
70	9008	117867
71	9088	117134
72	9167	116412
73	9206	115206
74	9287	114544
75	9384	114100
76	9483	113682
77	9571	113140
78	9643	112428
79	9704	111606
80	9720	110289
81	9777	109460
82	9833	108645
83	9917	108149
84	10115	108888
85	10395	110479
86	10569	110917
87	10874	112698
88	10932	111905
89	11007	111299
90	11086	110745
91	11170	110243
92	11242	109645
93	11313	109045
94	11390	108506
95	11463	107946
96	11573	107740
97	11674	107456
98	11761	107044
99	11827	106451
100	11843	105415
101	12123	106732
102	12426	108217
103	12660	109071
104	13029	111064
105	13124	110689
106	13206	110219
107	13287	109745
108	13353	109153
109	13456	108876
110	13559	108595
111	13651	108240
112	13717	107677
113	13748	106853
114	13824	106386
115	13881	105785
116	13955	105320
117	14014	104748
118	14110	104467
119	14427	105802
120	14679	106638
121	15106	108713
122	15222	108538
123	15310	108158
124	15403	107824
125	15485	107414
126	15568	107020
127	15628	106470
128	15702	106025
129	15803	105759
130	15900	105475
131	15966	104989
132	16023	104455
133	16046	103703
134	16106	103201
135	16219	103042
136	16512	104019
137	16822	105081
138	17115	106018
139	17206	105699
140	17242	105042
141	17332	104727
142	17390	104218
143	17421	103560
144	17492	103146
145	17575	102803
146	17678	102581
147	17786	102391
148	17864	102030
149	17895	101406
150	17951	100934
151	18020	100532
152	18080	100092
153	18177	99857
154	18641	101623
155	18955	102556
156	19264	103438
157	19337	103050
158	19408	102659
159	19436	102043
160	19509	101665
161	19589	101333
162	19693	101123
163	19772	100792
164	19846	100436
165	19904	100003
166	19974	99635
167	20037	99233
168	20102	98845
169	20163	98446
170	20221	98034
171	20394	98176
172	20680	98862
173	20991	99651
174	21228	100079
175	21302	99734
176	21390	99460
177	21463	99118
178	21535	98776
179	21610	98448
180	21685	98124
181	21763	97816
182	21854	97570
183	21943	97315
184	22032	97062
185	22099	96714
186	22156	96329
187	22179	95796
188	22525	96655
189	22836	97353
190	23103	97858
191	23175	97532
192	23237	97164
193	23311	96850
194	23391	96563
195	23472	96284
196	23578	96107
197	23678	95910
198	23782	95728
199	23847	95388
200	23906	95031
201	23975	94714
202	24035	94365
203	24103	94049
204	24243	94015
205	24586	94763
206	25065	96024
207	25425	96814
208	25525	96605
209	25611	96346
210	25699	96097
211	25768	95781
212	25845	95494
213	25942	95285
214	26052	95120
215	26146	94901
216	26208	94566
217	26232	94101
218	26297	93784
219	26361	93465
